,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Car_Age,Company_Name,Model_Name
1633,Honda Brio,Mumbai,2013,63107,Petrol,Manual,First,Others,5,4,3.25,19.4,kmpl,1198,CC,86.8,bhp,12,Honda,Brio
1634,Hyundai Grand,Kolkata,2014,37000,Petrol,Manual,First,Black/Silver,5,4,3.45,18.9,kmpl,1197,CC,82,bhp,11,Hyundai,Grand
1635,Honda Amaze,Mumbai,2013,39879,Petrol,Manual,First,Black/Silver,5,4,3.89,17.8,kmpl,1198,CC,86.7,bhp,12,Honda,Amaze
1636,Maruti Swift,Jaipur,2016,80000,Diesel,Manual,First,Black/Silver,5,4,4.5,23.4,kmpl,1248,CC,74,bhp,9,Maruti,Swift
1637,Maruti Swift,Kolkata,2017,13000,Petrol,Manual,First,Black/Silver,5,4,4.65,20.4,kmpl,1197,CC,81.8,bhp,8,Maruti,Swift
1638,Maruti Swift,Chennai,2008,107000,Diesel,Manual,Second,White,5,4,3.1,17.8,kmpl,1248,CC,75,bhp,17,Maruti,Swift
1639,Tata Indica,Pune,2017,49000,Diesel,Manual,Second,White,5,4,1.6,25,kmpl,1396,CC,69,bhp,8,Tata,Indica
1640,Maruti Alto,Hyderabad,2006,71993,Petrol,Manual,First,Black/Silver,5,4,1.8,19.7,kmpl,796,CC,46.3,bhp,19,Maruti,Alto
1641,Ford Ecosport,Hyderabad,2013,69000,Diesel,Manual,First,White,5,4,7.2,22.7,kmpl,1498,CC,89.84,bhp,12,Ford,Ecosport
1642,Skoda Laura,Mumbai,2011,68000,Diesel,Automatic,First,Others,5,4,4.8,15.6,kmpl,1896,CC,106,bhp,14,Skoda,Laura
1643,Hyundai Creta,Kolkata,2016,51000,Diesel,Manual,First,White,5,4,9.2,19.67,kmpl,1582,CC,126.2,bhp,9,Hyundai,Creta
1644,Toyota Innova,Kochi,2017,26023,Diesel,Automatic,First,Black/Silver,7,4,19.97,11.36,kmpl,2755,CC,171.5,bhp,8,Toyota,Innova
1645,Audi Q7,Pune,2008,120300,Diesel,Automatic,Second,Others,7,5,18,12.07,kmpl,2967,CC,241.4,bhp,17,Audi,Q7
1646,Toyota Etios,Mumbai,2013,8950,Petrol,Manual,First,Others,5,4,3.55,17.71,kmpl,1197,CC,78.9,bhp,12,Toyota,Etios
1647,Maruti Wagon,Pune,2012,92000,CNG,Manual,Second,Others,5,4,3,26.2,km/kg,998,CC,58.2,bhp,13,Maruti,Wagon
1648,Hyundai i20,Hyderabad,2018,11691,Petrol,Manual,First,Others,5,4,8.9,18.6,kmpl,1197,CC,81.83,bhp,7,Hyundai,i20
1649,Tata Zest,Mumbai,2017,100000,Petrol,Manual,First,White,5,4,4.25,17.57,kmpl,1193,CC,88.7,bhp,8,Tata,Zest
1650,Mercedes-Benz SL-Class,Kolkata,2010,35000,Petrol,Automatic,First,Black/Silver,2,2,29.5,8.1,kmpl,5461,CC,387.3,bhp,15,Mercedes-Benz,SL-Class
1651,Hyundai Getz,Hyderabad,2007,58307,Petrol,Manual,First,White,5,4,1.95,15.3,kmpl,1341,CC,83,bhp,18,Hyundai,Getz
1652,Toyota Innova,Hyderabad,2016,121362,Diesel,Manual,First,Others,7,4,16,13.68,kmpl,2393,CC,147.8,bhp,9,Toyota,Innova
1653,Toyota Innova,Chennai,2016,48000,Diesel,Manual,First,Others,7,4,20.25,13.68,kmpl,2393,CC,147.8,bhp,9,Toyota,Innova
1654,Maruti Omni,Hyderabad,2013,34834,Petrol,Manual,First,Black/Silver,5,4,2.6,14,kmpl,796,CC,35,bhp,12,Maruti,Omni
1655,Toyota Innova,Ahmedabad,2016,42388,Diesel,Automatic,First,White,7,4,18,11.36,kmpl,2755,CC,171.5,bhp,9,Toyota,Innova
1656,Volkswagen Passat,Chennai,2010,52000,Diesel,Automatic,First,White,5,4,9,18.33,kmpl,1968,CC,167.7,bhp,15,Volkswagen,Passat
1657,Maruti Swift,Jaipur,2010,152000,Diesel,Manual,First,Black/Silver,5,4,2.9,17.8,kmpl,1248,CC,75,bhp,15,Maruti,Swift
1658,Hyundai Grand,Coimbatore,2015,36840,Petrol,Manual,First,Black/Silver,5,4,5.64,18.9,kmpl,1197,CC,82,bhp,10,Hyundai,Grand
1659,Toyota Innova,Kochi,2017,29219,Diesel,Manual,First,Others,8,5,13.48,12.99,kmpl,2494,CC,100.6,bhp,8,Toyota,Innova
1660,Mercedes-Benz E-Class,Kochi,2018,21603,Diesel,Automatic,First,Black/Silver,5,4,70.15,13,kmpl,2987,CC,265,bhp,7,Mercedes-Benz,E-Class
1661,Mahindra Jeep,Hyderabad,2009,26000,Diesel,Manual,First,White,6,5,6.99,0,kmpl,2498,CC,98.59,bhp,16,Mahindra,Jeep
1662,Maruti Swift,Kolkata,2015,27000,Petrol,Manual,First,Others,5,4,4.45,17.5,kmpl,1298,CC,85.8,bhp,10,Maruti,Swift
1663,Mercedes-Benz New,Mumbai,2013,25000,Petrol,Automatic,First,Black/Silver,5,4,14.85,14.74,kmpl,1991,CC,181.04,bhp,12,Mercedes-Benz,New
1664,BMW X5,Coimbatore,2010,101119,Diesel,Automatic,First,Others,5,4,18.46,11,kmpl,2993,CC,235,bhp,15,BMW,X5
1665,Tata Zest,Kolkata,2017,65000,Petrol,Manual,First,Others,5,4,4.8,17.57,kmpl,1193,CC,88.7,bhp,8,Tata,Zest
1666,Skoda Superb,Pune,2010,71473,Petrol,Automatic,Second,White,5,4,5.35,13.7,kmpl,1798,CC,157.75,bhp,15,Skoda,Superb
1667,Nissan Terrano,Jaipur,2014,60000,Diesel,Manual,First,Black/Silver,5,4,6,20.45,kmpl,1461,CC,83.8,bhp,11,Nissan,Terrano
1668,Maruti Zen,Ahmedabad,2011,76000,CNG,Manual,First,Others,5,4,2,26.3,km/kg,998,CC,67.1,bhp,14,Maruti,Zen
1669,Ford Fiesta,Hyderabad,2010,84000,Diesel,Manual,Second,Others,5,4,2.41,17.8,kmpl,1399,CC,68,bhp,15,Ford,Fiesta
1670,Maruti A-Star,Hyderabad,2011,53766,Petrol,Manual,First,White,5,4,2.7,19,kmpl,998,CC,66.1,bhp,14,Maruti,A-Star
1671,Honda Amaze,Kolkata,2013,38755,Diesel,Manual,First,White,5,4,3.2,25.8,kmpl,1498,CC,98.6,bhp,12,Honda,Amaze
1672,Toyota Innova,Mumbai,2016,36000,Diesel,Manual,First,White,8,5,17.5,11.36,kmpl,2755,CC,171.5,bhp,9,Toyota,Innova
1673,Hyundai i20,Coimbatore,2019,32251,Diesel,Manual,First,White,5,4,8.61,22.54,kmpl,1396,CC,88.73,bhp,6,Hyundai,i20
1674,Maruti S-Cross,Kolkata,2016,45296,Diesel,Manual,First,Black/Silver,5,4,6.99,25.1,kmpl,1248,CC,88.5,bhp,9,Maruti,S-Cross
1675,Honda Jazz,Kochi,2016,25238,Petrol,Manual,First,Others,5,4,6.2,18.7,kmpl,1199,CC,88.7,bhp,9,Honda,Jazz
1676,Mercedes-Benz New,Chennai,2013,62000,Diesel,Automatic,Second,Others,5,4,12.5,14.84,kmpl,2143,CC,170,bhp,12,Mercedes-Benz,New
1677,Maruti Wagon,Delhi,2014,62549,CNG,Manual,First,Black/Silver,5,4,2.95,26.6,km/kg,998,CC,58.16,bhp,11,Maruti,Wagon
1678,BMW 5,Bangalore,2016,16000,Diesel,Automatic,First,Others,5,4,48,14.69,kmpl,2993,CC,258,bhp,9,BMW,5
1679,Audi Q7,Coimbatore,2015,56238,Diesel,Automatic,First,Others,7,5,51.69,11.33,kmpl,4134,CC,335.2,bhp,10,Audi,Q7
1680,Hyundai i20,Kolkata,2010,38000,Petrol,Manual,First,White,5,4,2.23,18.5,kmpl,1197,CC,80,bhp,15,Hyundai,i20
1681,Hyundai i20,Pune,2009,66000,Petrol,Manual,Second,White,5,4,2.7,17,kmpl,1197,CC,80,bhp,16,Hyundai,i20
1682,Toyota Innova,Hyderabad,2015,147848,Diesel,Manual,First,Black/Silver,8,5,13.2,12.8,kmpl,2494,CC,102,bhp,10,Toyota,Innova
1683,Jaguar XJ,Hyderabad,2012,50000,Diesel,Automatic,First,White,4,4,45,12.9,kmpl,2993,CC,271.23,bhp,13,Jaguar,XJ
1684,Mahindra Scorpio,Kolkata,2014,45128,Diesel,Manual,First,Black/Silver,8,5,6.75,12.05,kmpl,2179,CC,120,bhp,11,Mahindra,Scorpio
1685,Honda City,Delhi,2014,55818,Petrol,Manual,Second,Black/Silver,5,4,5.7,17.4,kmpl,1497,CC,117.3,bhp,11,Honda,City
1686,Honda City,Chennai,2014,55000,Petrol,Manual,First,Others,5,4,7.1,16.8,kmpl,1497,CC,116.3,bhp,11,Honda,City
1687,Mercedes-Benz M-Class,Ahmedabad,2012,66000,Diesel,Automatic,First,White,5,4,23,0,kmpl,2987,CC,165,bhp,13,Mercedes-Benz,M-Class
1688,Honda City,Kolkata,2015,39000,Diesel,Manual,First,Black/Silver,5,4,5.49,25.6,kmpl,1498,CC,98.6,bhp,10,Honda,City
1689,Renault KWID,Jaipur,2017,31056,Petrol,Manual,First,Others,5,4,3.6,23.01,kmpl,999,CC,67,bhp,8,Renault,KWID
1690,Honda Mobilio,Mumbai,2014,57000,Diesel,Manual,First,White,7,5,5.75,24.2,kmpl,1498,CC,98.6,bhp,11,Honda,Mobilio
1691,Mercedes-Benz SLK-Class,Bangalore,2014,3000,Petrol,Automatic,Second,White,2,2,90,12,kmpl,5461,CC,421,bhp,11,Mercedes-Benz,SLK-Class
1692,Renault Duster,Jaipur,2015,91000,Diesel,Manual,First,Black/Silver,5,4,5.75,19.87,kmpl,1461,CC,83.8,bhp,10,Renault,Duster
1693,Hyundai Creta,Jaipur,2015,78046,Diesel,Manual,First,White,5,4,10.9,19.67,kmpl,1582,CC,126.2,bhp,10,Hyundai,Creta
1694,Mahindra XUV500,Ahmedabad,2014,31000,Diesel,Manual,First,Black/Silver,7,5,9.5,15.1,kmpl,2179,CC,140,bhp,11,Mahindra,XUV500
1695,Hyundai Verna,Delhi,2015,62542,Diesel,Manual,Second,Black/Silver,5,4,6.5,23.9,kmpl,1582,CC,126.2,bhp,10,Hyundai,Verna
1696,Tata Indica,Mumbai,2014,75000,Diesel,Manual,First,Black/Silver,5,4,3.3,19.1,kmpl,1405,CC,70,bhp,11,Tata,Indica
1697,Toyota Fortuner,Delhi,2011,86000,Diesel,Manual,First,Black/Silver,7,5,11.5,11.5,kmpl,2982,CC,171,bhp,14,Toyota,Fortuner
1698,Hyundai Verna,Mumbai,2013,44000,Petrol,Automatic,First,White,5,4,5.6,17.1,kmpl,1591,CC,121.4,bhp,12,Hyundai,Verna
1699,Toyota Corolla,Delhi,2014,60750,Petrol,Manual,First,Others,5,4,10.5,14.28,kmpl,1798,CC,138.03,bhp,11,Toyota,Corolla
1700,Hyundai Santa,Delhi,2012,86000,Diesel,Automatic,Second,White,7,5,9.5,13.01,kmpl,2199,CC,194.3,bhp,13,Hyundai,Santa
1701,Mercedes-Benz CLA,Kochi,2016,32345,Diesel,Automatic,First,White,5,4,24.51,17.9,kmpl,2143,CC,136,bhp,9,Mercedes-Benz,CLA
1702,Hyundai EON,Jaipur,2016,70000,Petrol,Manual,First,White,5,4,3,21.1,kmpl,814,CC,55.2,bhp,9,Hyundai,EON
1703,Volkswagen Polo,Kolkata,2013,30000,Petrol,Manual,First,Others,5,4,2.8,16.47,kmpl,1198,CC,73.9,bhp,12,Volkswagen,Polo
1704,Ford Figo,Coimbatore,2012,75464,Petrol,Manual,First,Others,5,4,3.62,15.6,kmpl,1196,CC,70,bhp,13,Ford,Figo
1705,Mahindra Xylo,Chennai,2013,234000,Diesel,Manual,Second,Others,8,5,3.5,14,kmpl,2489,CC,95,bhp,12,Mahindra,Xylo
1706,Maruti Swift,Mumbai,2016,29401,Petrol,Manual,First,White,5,4,4.31,20.4,kmpl,1197,CC,81.8,bhp,9,Maruti,Swift
1707,Ford Endeavour,Hyderabad,2012,91000,Diesel,Automatic,First,Black/Silver,7,5,9.2,11.4,kmpl,2953,CC,153.86,bhp,13,Ford,Endeavour
1708,Volkswagen Polo,Kolkata,2011,46000,Petrol,Manual,First,White,5,4,2.35,15.26,kmpl,1598,CC,103.5,bhp,14,Volkswagen,Polo
1709,Hyundai Verna,Kolkata,2014,48000,Diesel,Automatic,First,White,5,4,5.1,22.32,kmpl,1582,CC,126.32,bhp,11,Hyundai,Verna
1710,Audi Q5,Bangalore,2011,53000,Diesel,Automatic,First,White,5,4,23,12.8,kmpl,1968,CC,167.6,bhp,14,Audi,Q5
1711,Honda CR-V,Mumbai,2008,75000,Petrol,Manual,Second,Others,5,4,3.9,11.1,kmpl,2354,CC,158.8,bhp,17,Honda,CR-V
1712,Honda Amaze,Hyderabad,2017,128000,Diesel,Manual,First,White,5,4,6.3,25.8,kmpl,1498,CC,98.6,bhp,8,Honda,Amaze
1713,Mercedes-Benz GLC,Coimbatore,2018,22397,Petrol,Automatic,First,Others,5,4,70.99,11.5,kmpl,2996,CC,367,bhp,7,Mercedes-Benz,GLC
1714,BMW X5,Chennai,2009,150000,Diesel,Automatic,First,Black/Silver,5,4,18.75,11,kmpl,2993,CC,235,bhp,16,BMW,X5
1715,Mercedes-Benz New,Hyderabad,2010,107000,Diesel,Automatic,First,White,5,4,11.99,14.84,kmpl,2143,CC,170,bhp,15,Mercedes-Benz,New
1716,Maruti Alto,Kochi,2014,36967,Petrol,Manual,First,Others,5,4,3.64,20.92,kmpl,998,CC,67.1,bhp,11,Maruti,Alto
1717,Hyundai Verna,Mumbai,2014,9000,Petrol,Manual,Second,Black/Silver,5,4,5.5,17.01,kmpl,1591,CC,121.3,bhp,11,Hyundai,Verna
1718,Tata Tiago,Coimbatore,2018,9565,Petrol,Manual,First,White,5,4,5.88,23.84,kmpl,1199,CC,84,bhp,7,Tata,Tiago
1719,Ford Fiesta,Chennai,2006,89326,Diesel,Manual,Third,Others,5,4,1.55,17.8,kmpl,1399,CC,68,bhp,19,Ford,Fiesta
1720,Renault KWID,Hyderabad,2016,25000,Petrol,Manual,First,White,5,4,3.8,25.17,kmpl,799,CC,53.3,bhp,9,Renault,KWID
1721,Mahindra Thar,Jaipur,2012,75800,Diesel,Manual,Second,White,6,5,5.5,16.55,kmpl,2498,CC,105,bhp,13,Mahindra,Thar
1722,Hyundai i20,Kochi,2018,40175,Diesel,Manual,Second,White,5,4,6.36,22.54,kmpl,1396,CC,88.73,bhp,7,Hyundai,i20
1723,Skoda Fabia,Pune,2012,41629,Petrol,Manual,Second,Black/Silver,5,4,2.25,14.83,kmpl,1598,CC,105,bhp,13,Skoda,Fabia
1724,Tata Manza,Pune,2010,75695,Petrol,Manual,First,Others,5,4,1.85,13.7,kmpl,1368,CC,88.8,bhp,15,Tata,Manza
1725,Ford Ecosport,Coimbatore,2014,62497,Petrol,Manual,First,Black/Silver,5,4,7.52,15.8,kmpl,1499,CC,110,bhp,11,Ford,Ecosport
1726,Maruti Swift,Mumbai,2012,88000,Petrol,Manual,First,Others,5,4,3.85,19.1,kmpl,1197,CC,85.8,bhp,13,Maruti,Swift
1727,Maruti Ciaz,Delhi,2017,17000,Petrol,Manual,First,Black/Silver,5,4,7.65,20.73,kmpl,1373,CC,91.1,bhp,8,Maruti,Ciaz
1728,Honda City,Mumbai,2005,81000,Petrol,Manual,Second,White,5,4,1.1,12.8,kmpl,1493,CC,100,bhp,20,Honda,City
1729,Toyota Fortuner,Pune,2017,29000,Diesel,Automatic,First,Others,7,5,31,12.9,kmpl,2755,CC,174.5,bhp,8,Toyota,Fortuner
1730,Ford Aspire,Kolkata,2017,60048,Diesel,Manual,First,Others,5,4,6,26.1,kmpl,1498,CC,99,bhp,8,Ford,Aspire
1731,Volkswagen Polo,Mumbai,2015,22000,Petrol,Manual,First,Black/Silver,5,4,4.75,16.47,kmpl,1198,CC,74,bhp,10,Volkswagen,Polo
1732,Tata Manza,Hyderabad,2011,70259,Diesel,Manual,First,White,5,4,2.95,21.12,kmpl,1248,CC,88.8,bhp,14,Tata,Manza
1733,BMW 3,Bangalore,2017,21000,Diesel,Automatic,First,White,5,4,35,21.76,kmpl,1995,CC,190,bhp,8,BMW,3
1734,Honda City,Pune,2014,82329,Petrol,Automatic,First,Black/Silver,5,4,7.5,18,kmpl,1497,CC,117.3,bhp,11,Honda,City
1735,Audi Q5,Mumbai,2015,52000,Diesel,Automatic,First,White,5,4,25.49,14.16,kmpl,1968,CC,174.3,bhp,10,Audi,Q5
1736,Toyota Innova,Hyderabad,2014,92247,Diesel,Manual,First,Others,7,4,12.5,12.99,kmpl,2494,CC,100.6,bhp,11,Toyota,Innova
1737,Mahindra XUV500,Bangalore,2013,71231,Diesel,Manual,Second,White,7,5,9.75,16,kmpl,2179,CC,140,bhp,12,Mahindra,XUV500
1738,Toyota Innova,Hyderabad,2017,67000,Diesel,Manual,First,White,7,4,16.5,13.68,kmpl,2393,CC,147.8,bhp,8,Toyota,Innova
1739,Maruti Ritz,Delhi,2010,75319,Petrol,Manual,Second,White,5,4,2,21.1,kmpl,1197,CC,85.8,bhp,15,Maruti,Ritz
1740,Audi Q3,Delhi,2015,64103,Diesel,Automatic,First,White,5,4,19.9,15.73,kmpl,1968,CC,174.33,bhp,10,Audi,Q3
1741,Volkswagen Jetta,Chennai,2009,60000,Diesel,Manual,First,Black/Silver,5,4,4,15,kmpl,1896,CC,105,bhp,16,Volkswagen,Jetta
1742,Renault Duster,Kochi,2013,74755,Diesel,Manual,First,Black/Silver,5,4,5.63,19.6,kmpl,1461,CC,108.45,bhp,12,Renault,Duster
1743,Volkswagen Polo,Kolkata,2010,55000,Petrol,Manual,First,Black/Silver,5,4,2.25,16.47,kmpl,1198,CC,73.9,bhp,15,Volkswagen,Polo
1744,Hyundai Grand,Kochi,2015,81828,Diesel,Manual,First,Black/Silver,5,4,5.43,24,kmpl,1186,CC,73.97,bhp,10,Hyundai,Grand
1745,Toyota Etios,Delhi,2014,63000,Diesel,Manual,First,Others,5,4,4.35,23.59,kmpl,1364,CC,67.04,bhp,11,Toyota,Etios
1746,Mahindra XUV500,Pune,2012,95000,Diesel,Manual,First,Others,7,5,7.21,15.1,kmpl,2179,CC,140,bhp,13,Mahindra,XUV500
1747,Mercedes-Benz New,Pune,2013,79000,Diesel,Manual,Second,Others,5,4,15.5,15.8,kmpl,2148,CC,170,bhp,12,Mercedes-Benz,New
1748,Fiat Avventura,Hyderabad,2015,57266,Diesel,Manual,First,Black/Silver,5,4,6.5,20.5,kmpl,1248,CC,91.72,bhp,10,Fiat,Avventura
1749,BMW 5,Pune,2010,170000,Diesel,Automatic,Third,Black/Silver,5,4,12,18.48,kmpl,1995,CC,177,bhp,15,BMW,5
1750,Mercedes-Benz GLE,Hyderabad,2016,50000,Diesel,Automatic,First,Others,5,4,49,17.9,kmpl,2143,CC,201.15,bhp,9,Mercedes-Benz,GLE
1751,Hyundai Santro,Kolkata,2009,60170,Petrol,Manual,First,White,5,4,1.15,0,kmpl,1086,CC,62,bhp,16,Hyundai,Santro
1752,Nissan Micra,Kolkata,2012,32048,Diesel,Manual,First,Others,5,4,2.4,23.08,kmpl,1461,CC,63.1,bhp,13,Nissan,Micra
1753,Audi A4,Hyderabad,2015,60000,Diesel,Automatic,First,White,5,4,25,17.11,kmpl,1968,CC,174.33,bhp,10,Audi,A4
1754,Maruti Swift,Chennai,2012,49000,Petrol,Manual,First,Black/Silver,5,4,4.9,17.5,kmpl,1298,CC,85.8,bhp,13,Maruti,Swift
1755,Honda Amaze,Delhi,2015,58000,Diesel,Manual,First,Black/Silver,5,4,4.45,25.8,kmpl,1498,CC,98.6,bhp,10,Honda,Amaze
1756,Mahindra Scorpio,Delhi,2010,72000,Diesel,Manual,First,Black/Silver,8,5,4.4,12.05,kmpl,2179,CC,120,bhp,15,Mahindra,Scorpio
1757,Volkswagen Vento,Ahmedabad,2014,54000,Diesel,Manual,First,White,5,4,4.9,20.34,kmpl,1498,CC,103.2,bhp,11,Volkswagen,Vento
1758,Nissan Terrano,Kochi,2015,58817,Diesel,Manual,First,Others,5,4,6.25,19.87,kmpl,1461,CC,83.14,bhp,10,Nissan,Terrano
1759,Honda Brio,Kolkata,2014,35000,Petrol,Manual,First,White,5,4,2.85,19.4,kmpl,1198,CC,86.8,bhp,11,Honda,Brio
1760,Ford Ikon,Hyderabad,2007,92000,Petrol,Manual,First,Others,5,4,1.25,13.8,kmpl,1299,CC,70,bhp,18,Ford,Ikon
1761,Hyundai i20,Bangalore,2012,68000,Diesel,Manual,First,White,5,4,4.4,21.9,kmpl,1396,CC,88.76,bhp,13,Hyundai,i20
1762,Hyundai i20,Hyderabad,2011,113562,Diesel,Manual,First,White,5,4,4.6,23,kmpl,1396,CC,90,bhp,14,Hyundai,i20
1763,Hyundai i20,Pune,2012,49700,Diesel,Manual,Second,White,5,4,4.18,21.9,kmpl,1396,CC,88.76,bhp,13,Hyundai,i20
1764,BMW X5,Chennai,2017,15000,Diesel,Automatic,First,Black/Silver,5,4,70,15.97,kmpl,2993,CC,258,bhp,8,BMW,X5
1765,Chevrolet Beat,Mumbai,2014,54890,Petrol,Manual,Second,White,5,4,2.45,17.8,kmpl,1199,CC,76.8,bhp,11,Chevrolet,Beat
1766,Maruti Baleno,Kochi,2017,25040,Petrol,Manual,First,Others,5,4,7.74,21.4,kmpl,1197,CC,83.1,bhp,8,Maruti,Baleno
1767,BMW X5,Coimbatore,2016,17738,Diesel,Automatic,First,White,5,4,54.45,15.3,kmpl,2993,CC,258,bhp,9,BMW,X5
1768,Maruti Swift,Jaipur,2012,160000,Diesel,Manual,Second,Black/Silver,5,4,3.9,22.9,kmpl,1248,CC,74,bhp,13,Maruti,Swift
1769,BMW 3,Kochi,2018,21936,Diesel,Automatic,First,White,5,4,37.92,21.76,kmpl,1995,CC,190,bhp,7,BMW,3
1770,Porsche Cayenne,Mumbai,2010,35000,Petrol,Automatic,Second,Black/Silver,5,4,32,11.9,kmpl,4806,CC,550,bhp,15,Porsche,Cayenne
1771,Hyundai Grand,Hyderabad,2016,21000,Petrol,Automatic,First,White,5,4,6.2,18.9,kmpl,1197,CC,82,bhp,9,Hyundai,Grand
1772,Maruti Swift,Mumbai,2011,58075,Petrol,Manual,First,Black/Silver,5,4,2.95,17.5,kmpl,1298,CC,85.8,bhp,14,Maruti,Swift
1773,Volkswagen Polo,Kolkata,2014,30000,Diesel,Manual,First,Others,5,4,3.25,22.07,kmpl,1199,CC,73.9,bhp,11,Volkswagen,Polo
1774,Ford Figo,Mumbai,2012,23152,Petrol,Manual,First,Others,5,4,2.39,15.6,kmpl,1196,CC,70.02,bhp,13,Ford,Figo
1775,Maruti Swift,Pune,2009,90456,Petrol,Manual,Second,Black/Silver,5,4,3,16.1,kmpl,1298,CC,88.2,bhp,16,Maruti,Swift
1776,Land Rover Freelander,Kochi,2014,61730,Diesel,Automatic,First,Black/Silver,5,4,19.94,12.39,kmpl,2179,CC,147.51,bhp,11,Land Rover,Freelander
1777,Toyota Innova,Mumbai,2014,87143,Diesel,Manual,First,White,8,5,12.5,12.99,kmpl,2494,CC,100,bhp,11,Toyota,Innova
1778,Hyundai Grand,Kolkata,2014,25135,Diesel,Manual,First,Black/Silver,5,4,3.75,24,kmpl,1120,CC,70,bhp,11,Hyundai,Grand
1779,Hyundai Grand,Coimbatore,2017,62788,Petrol,Manual,First,Black/Silver,5,4,6.08,18.9,kmpl,1197,CC,81.86,bhp,8,Hyundai,Grand
1780,Ford Figo,Hyderabad,2015,36000,Diesel,Manual,First,Black/Silver,5,4,4.95,20,kmpl,1399,CC,68.05,bhp,10,Ford,Figo
1781,Maruti Swift,Hyderabad,2015,76496,Diesel,Manual,First,White,5,4,6.15,25.2,kmpl,1248,CC,74,bhp,10,Maruti,Swift
1782,Maruti Alto,Mumbai,2017,12000,Petrol,Manual,First,Black/Silver,5,4,3.25,24.07,kmpl,998,CC,67.1,bhp,8,Maruti,Alto
1783,Mercedes-Benz E-Class,Mumbai,2004,85000,Petrol,Automatic,Second,White,5,4,5.5,10.5,kmpl,1796,CC,157.7,bhp,21,Mercedes-Benz,E-Class
1784,Volkswagen Polo,Bangalore,2012,75000,Petrol,Manual,Second,Black/Silver,5,4,3.95,16.47,kmpl,1198,CC,73.9,bhp,13,Volkswagen,Polo
1785,Honda Amaze,Kolkata,2013,46500,Diesel,Manual,First,Black/Silver,5,4,3.3,27.4,kmpl,1498,CC,98.6,bhp,12,Honda,Amaze
1786,Maruti Swift,Pune,2013,37000,Diesel,Manual,First,White,5,4,4.85,17.8,kmpl,1248,CC,98.59,bhp,12,Maruti,Swift
1787,Maruti Wagon,Pune,2013,79494,CNG,Manual,First,Black/Silver,5,4,2.96,33.54,km/kg,998,CC,67.04,bhp,12,Maruti,Wagon
1788,Toyota Fortuner,Coimbatore,2015,101337,Diesel,Automatic,First,White,7,5,21.67,12.55,kmpl,2982,CC,168.5,bhp,10,Toyota,Fortuner
1789,Maruti Omni,Kolkata,2015,23000,Petrol,Manual,First,Others,5,4,1.5,16.8,kmpl,796,CC,34.2,bhp,10,Maruti,Omni
1790,Maruti Alto,Hyderabad,2010,94753,Petrol,Manual,First,Others,5,4,1.95,19.7,kmpl,796,CC,46.3,bhp,15,Maruti,Alto
1791,Hyundai Grand,Bangalore,2016,50000,Diesel,Manual,First,Others,5,4,5.5,24,kmpl,1120,CC,70,bhp,9,Hyundai,Grand
1792,Maruti SX4,Mumbai,2014,53000,CNG,Manual,First,Others,5,4,3.26,22.1,km/kg,1586,CC,85.7,bhp,11,Maruti,SX4
1793,Hyundai Grand,Coimbatore,2017,23540,Petrol,Manual,First,Black/Silver,5,4,6.02,18.9,kmpl,1197,CC,82,bhp,8,Hyundai,Grand
1794,Maruti Alto,Hyderabad,2009,35000,Petrol,Manual,First,Black/Silver,5,4,1.7,19.7,kmpl,796,CC,46.3,bhp,16,Maruti,Alto
1795,Maruti A-Star,Kolkata,2010,60000,Petrol,Manual,First,Black/Silver,5,4,1.35,19,kmpl,998,CC,66.1,bhp,15,Maruti,A-Star
1796,Audi A4,Delhi,2013,67000,Diesel,Automatic,First,White,5,4,14.5,16.55,kmpl,1968,CC,147.51,bhp,12,Audi,A4
1797,Hyundai Verna,Chennai,2013,79000,Diesel,Manual,First,Others,5,4,6.5,23.5,kmpl,1396,CC,88.7,bhp,12,Hyundai,Verna
1798,Hyundai i10,Mumbai,2011,41000,Petrol,Manual,First,White,5,4,2.65,20.36,kmpl,1197,CC,78.9,bhp,14,Hyundai,i10
1799,Mercedes-Benz New,Mumbai,2017,14470,Diesel,Automatic,First,Others,5,4,38.5,19.71,kmpl,2143,CC,201.15,bhp,8,Mercedes-Benz,New
1800,Ford Figo,Chennai,2011,76000,Diesel,Manual,First,Black/Silver,5,4,2.4,20,kmpl,1399,CC,68,bhp,14,Ford,Figo
1801,Volkswagen CrossPolo,Hyderabad,2014,75160,Diesel,Manual,First,Others,5,4,5.7,20.14,kmpl,1498,CC,88.5,bhp,11,Volkswagen,CrossPolo
1802,Toyota Corolla,Jaipur,2004,160000,Petrol,Automatic,Second,Others,5,4,1.5,11.3,kmpl,1794,CC,125,bhp,21,Toyota,Corolla
1803,Mercedes-Benz E-Class,Kochi,2018,20446,Petrol,Automatic,First,Black/Silver,5,4,51.35,12.6,kmpl,1950,CC,191.34,bhp,7,Mercedes-Benz,E-Class
1804,Hyundai Verna,Hyderabad,2008,109606,Diesel,Manual,First,Black/Silver,5,4,2.9,22,kmpl,1582,CC,126.2,bhp,17,Hyundai,Verna
1805,BMW 3,Pune,2009,40000,Petrol,Automatic,Second,Black/Silver,5,4,9.5,12.05,kmpl,1995,CC,154,bhp,16,BMW,3
